source_file,case_id,keyword_score,has_article_num,quoted_text
fraud_core,2488,15,True,"“1. 당사는 상기 부동산담보신탁계약의 수탁자로서 동 신탁계약 특약사항 제5조[임대차 업무]에 따라 위탁자 B가 임대차계약을 체결하는 것에 대하여 확인함, 2. 상기 1항의 임대차계약과 관련한 임대보증금 반환책임 및 임대부동산의 수선의무 등은 신탁계약 및 임대차계약에 따라 위탁자 겸 임대인인 B가 부담하며 당사는 이에 대하여 일체의 책임이 없으며 위와 같은 사항을 임차인이 신탁계약 및 임대차계약에 따라 인지하여 임대차계약서에 날인하는 것을 확인함“"
fraud_core,68959,15,True,"“1. 당사는 상기 부동산담보신탁계약의 수탁자로서 동 신탁계약 특약사항 제5조[임대차 업무]에 따라 위탁자 B가 임대차계약을 체결하는 것에 대하여 확인함, 2. 상기 1항의 임대차계약과 관련한 임대보증금 반환책임 및 임대부동산의 수선의무 등은 신탁계약 및 임대차계약에 따라 위탁자 겸 임대인인 B가 부담하며 당사는 이에 대하여 일체의 책임이 없으며 위와 같은 사항을 임차인이 신탁계약 및 임대차계약에 따라 인지하여 임대차계약서에 날인하는 것을 확인함“"
deposit_dispute,11329,13,True,"“임대주택건설촉진법의 적용을 받는 임대주택의 임대인은 같은 법 시행규칙 제9조 각호 소정의 사유가 있는 경우라야 그 임대차계약을 해지하거나 계약의 갱신을 거절할 수 있고, 그렇지 아니한 경우에는 특별한 사정이 없는 한 임차인이 임대차계약의 갱신을 원하는 때에는 임대인은 임대차계약의 갱신을 거절할 수 없고 당해 임대차계약은 갱신되는 것으로 보아야 한다.”"
fraud_core,124256,12,False,"“이 사건 전세권설정계약은 통정허위표시로서 무효이다. 섬유신협은 이 사건 전세권근저당권설정등기 당시 이 사건 전세권설정계약이 통정허위표시라는 사정을 알았으므로, 피고 예금보험공사는 원고에게 이 사건 전세권근저당권설정등기의 말소등기절차를 이행할 의무가 있다. 또 피고 2, 3과 소외 1, 인수참가인이 이 사건 전세권설정계약이 통정허위표시에 해당함을 알면서 각 이 사건 전세권이전의 부기등기를 마쳤으므로, 인수참가인은 원고에게 이 사건 전세권설정등기의 말소등기절차를 이행할 의무가 있다.”"
fraud_core,146502,12,False,"“위 신탁계약 체결 전에 위탁자와 임차인 간에 체결된 임대차계약은 그 상태로 유효하며 위탁자가 임대차보증금의 반환의무, 기타 임대인으로서의 책임 및 권리 등 임대인의 지위를 계속하여 유지하고, 임대차계약상 임대인의 명의를 수탁자로 갱신하고 임대차보증금을 위탁자와 수탁자간에 인수·인계하는 경우에는 임대인의 지위를 수탁자가 승계하는 것으로 한다”"
fraud_core,61644,11,False,"‘이 사건 제1부동산 임대차계약서 사본 2매(현 임차인 B, 전 임차인 L)로 제(원고)가 알고 싶은 계약자, 계약금액, 계약조건 등을 확인할 수 있어, 제 업무에 도움이 된 점, 한번 더 고마운 마음을 전해 올립니다. 계약서에 임대인 E, A으로 되어 있고, 저의 인감이 날인되어 있어 제가 계약서 작성시 참석하지 않았는데 어떤 일인지 사장님께 문의한바 계약서 작성시 사장님(H)께서도 E에게 A의 확인을 요구한바, A의 동의를 받았고, E 본인이 책임을 지겠다하여 계약을 성사할 수 있었다고 한, 그 당시의 상황을 이해하고 있습니다’"
deposit_dispute,146290,11,True,"‘임차인이 계약특수조건 제8조에 의하여 임대주택을 명도하여야 하는 날까지 임대인에게 명도하지 아니하는 경우와 계약특수조건 제2조에서 정한 임대차계약기간이 종료되었음에도 명도 또는 임대차 갱신계약을 체결하지 아니한 경우에는 임차인은 그 주택을 명도하여야 하는 날의 다음날부터 명도일까지의 기간에 대해 계약일반조건 제1조 제1항의 기본 월 임대료의 1.5배에 상당하는 금액을 임대인에게 납부하여야 한다. 이 경우 명도일까지 임차인이 사용한 전기료, 수도료 등을 포함한 관리비는 이와 별도로 납부하여야 한다’"
protection_mechanism,107001,11,False,'우리 공사와 임대인 피고 A이 체결한 부동산임대차계약의 만료기간 도래에 따라 2019. 9. 23. 계약해지를 통보하였으며 2019. 10. 31. 피고 A으로부터 신 임대인(피고 B)에게 임대차계약을 승계하였음을 통보받았습니다. 임대차계약 물건에 대한 재계약 의사가 없음에 따라 보증금은 계약종료일인 2019. 12. 28.까지 반환하여 주시기 바랍니다'
deposit_dispute,112145,11,False,"“상기 본인은 이 사건 부동산을 계약함에 있어 보증금을 원고가 임대인 D에게 대납해준 것을 확인하며, 차후 임대차기간 종료나 해지 시 위 보증금에 대하여 임차인의 권리를 주장할 수 없고, 임대차보증금도 임대인에게 주장할 수 없으며, 위 보증금을 임대인 D이 원고에게 반환하는 데 동의합니다”"
deposit_dispute,89780,10,False,"'이라 한다)을 체결하면서, 피고가 권리금 및 시설비 일체를 제3의 임차인에 대하여 인정하고, 보증금의 반환은 원고에게 직접하기로 하는 특약을 하였는데, 계약 당시 원고는 입회인으로 날인하였고, 원고가 준비한 보증금 1,600만 원을 피고에게 지급하였다. (2) 소외인은 이 사건 건물에서 제과점을 운영하였는데 1차 계약의 기간만료 후인 1991. 9. 11. 원고와 소외인은 피고 집을 방문하여 보증금을 700만 원 인상하여 총 2,300만 원으로 하여 임대차계약을 갱신(이하 '"
